danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.685,0.83,0,-4.869,0.0626,0.0195,0.0,0.101,0.575,100.992,犬姫,185373,spotify:track:1O8Z5URYRvYs8O8Qo1Uuja,2
0.495,0.711,11,-4.165,0.0376,0.034,0.0,0.0745,0.252,85.886,Flare,234879,spotify:track:1qZC7gWAR5blkKT1DI4niR,2
0.474,0.881,7,-1.846,0.0398,0.033,0.0,0.0513,0.587,180.0,Shout Baby,265987,spotify:track:5j4GrEcK99AsgDspM9tCQ2,2
0.473,0.9,11,-3.073,0.0511,0.00209,0.0,0.0948,0.377,186.91,境界線,293825,spotify:track:48JYYEXKNZdXuDdZvkRvaQ,2
0.621,0.686,8,-4.89,0.0338,0.058,1.54e-05,0.0775,0.642,132.01,リナリア,231700,spotify:track:6CDwwQF6WjyiYf2YRwjtFk,2
0.448,0.719,4,-5.521,0.0262,0.0449,1.5e-06,0.202,0.399,175.991,Small world,322223,spotify:track:2E2Ax3uzsMRM1KbzSzHfB3,4
0.491,0.583,8,-6.092,0.027,0.429,0.0,0.111,0.25,81.06,Eureka (feat. kojikoji),316494,spotify:track:6vaMxuMCYQ717jJBEJ3BcC,2
0.275,0.782,10,-4.689,0.0467,0.0521,2.25e-06,0.331,0.154,131.744,Red Swan,263720,spotify:track:4GNMgGyZcgnE4nEdYFWJGn,4
0.586,0.652,1,-6.572,0.0343,0.154,0.00255,0.188,0.667,123.926,Answers,265333,spotify:track:0g3Nep5KmsTCCaw7GfWTKW,2
0.543,0.9,6,-4.067,0.0424,0.0727,4.65e-06,0.204,0.358,111.909,Missing Promise,257560,spotify:track:12J7XCZ4Hv4Rbg4Grkvp3Y,2
0.509,0.965,11,-3.007,0.129,0.257,0.0,0.4,0.755,97.006,我武者羅 (TV size),90000,spotify:track:2o6d0rAC9BAyPmgXnbXx1h,0
0.423,0.827,9,-3.392,0.0554,0.0646,0.0,0.203,0.469,144.027,Sincerely - English version,273363,spotify:track:73KPyKWmGRE3GwRrCUHmti,4
0.275,0.782,10,-4.689,0.0467,0.0521,2.25e-06,0.331,0.154,131.744,Red Swan,263720,spotify:track:0zvN9oq95bIEQjvfcdeZlX,4
0.822,0.694,0,-6.901,0.12,0.0433,0.000111,0.151,0.475,120.039,Move Mountains,171333,spotify:track:4zjLytFLyTRMAvresn1MBB,0
0.5,0.964,2,-4.19,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,一途,190607,spotify:track:7ncPjJBktLEOpstY5JOUMK,0
0.415,0.932,1,-2.923,0.0588,0.00395,0.0,0.0168,0.535,92.534,Who are you?,209827,spotify:track:2jjtyENFrV2g4XocVqjUGi,2
0.784,0.574,6,-8.725,0.217,0.195,0.0,0.244,0.483,119.876,BAKU (CORSAK Remix) -Sakura Chill Beats Singles,139995,spotify:track:12Bkie1yk9RyGrscN6QUeQ,0
0.651,0.841,11,-6.29,0.118,0.153,7.35e-06,0.349,0.689,94.139,Kiss Me,218467,spotify:track:3oWLxV0LKV4z2gWUOsX5zJ,0
0.397,0.719,11,-6.609,0.0353,0.00862,0.0,0.163,0.472,184.038,燈,232533,spotify:track:5U5ZUDFkEDbErnxGUISDI5,2
0.671,0.76,8,-2.852,0.057,0.0639,0.0,0.124,0.796,107.007,ここで息をして,216672,spotify:track:1P1PgGMrzIVMju7TOqMGBy,2
0.53,0.822,2,-3.299,0.0371,0.00823,0.0,0.242,0.513,147.025,PAINT,208405,spotify:track:0n099xB2P5c2ZLDazd3dgr,4
0.555,0.66,2,-5.193,0.0531,0.228,0.0,0.215,0.786,177.999,インフィニティ,245853,spotify:track:3Gj9gaVfc3HHyqcIFaSa70,4
0.332,0.602,10,-4.494,0.0371,0.389,0.0,0.31,0.454,78.339,four,213307,spotify:track:5q0JLhzbWHNOOAXeUCI3mG,4
0.606,0.878,2,-1.742,0.197,0.0777,0.0106,0.318,0.601,170.097,シルエット (TOKYO MACHINE Remix) - Sakura Chill Beats Singles,209294,spotify:track:3BsvhBG7BATLlLWJ4AYtP3,0
0.572,0.955,7,-2.617,0.0626,0.0141,0.0,0.315,0.717,129.981,シンデレラ,212311,spotify:track:6ilTR3RpLCAHDt3Z6YuQGx,4
0.596,0.93,5,-3.285,0.0377,0.0681,0.0,0.304,0.7,112.983,カザニア,218473,spotify:track:2DwutGldROy1YEUZCHb5bj,4
0.566,0.952,2,-3.726,0.128,0.236,0.0,0.453,0.506,116.012,VOLTAGE,229920,spotify:track:1ochPJNz2afOUWuFKm18zm,0
0.537,0.952,1,-2.971,0.0806,0.117,0.0,0.145,0.705,97.437,Eclipse TV Size,92189,spotify:track:0Li6TqWifCK3kjIDZjNguu,2
0.461,0.423,4,-9.161,0.0369,0.486,0.00118,0.137,0.546,146.061,Grand Escape (Movie Edit) [feat. Toko Miura],188067,spotify:track:2cE5PbW9PhPmnyETXqH3VE,2
0.467,0.878,2,-4.518,0.0594,0.031,0.00208,0.0563,0.706,184.988,ケアレス,256040,spotify:track:3TOu6gUa0EXmbYth06kR3e,2
0.56,0.581,3,-5.407,0.0303,0.206,0.0,0.113,0.544,80.003,ハヅキ,279285,spotify:track:1pxUsWOISNeXFbZirtyj4y,2
0.715,0.885,7,-5.802,0.0436,0.0337,1.11e-06,0.223,0.779,134.986,モノクロシティ,254540,spotify:track:58zuwdJzxODln0rcx7lm44,4
0.583,0.552,9,-9.369,0.0348,0.675,0.241,0.146,0.375,83.924,ad meliora,216967,spotify:track:4rzw37fRwEoUDx7gulKKHN,2
0.687,0.743,1,-4.418,0.0319,0.193,9.93e-06,0.154,0.517,99.961,息を吸う ここで吸う 生きてく,191067,spotify:track:4IuiAmZd248MLAntebZFKo,2
0.493,0.907,1,-4.911,0.19,0.227,1.7e-05,0.136,0.596,185.959,Universe,286099,spotify:track:6KLaKHxwJE3CZECVJLH4cN,0
0.498,0.879,1,-4.3,0.057,0.0216,0.0,0.112,0.64,90.495,No.1,232907,spotify:track:3GIhgMadHu26VHLEeXviGD,2
0.539,0.66,10,-6.529,0.0355,0.00232,0.000598,0.149,0.163,104.937,NAMELY,247880,spotify:track:0ZfWNX0kP9ofAjmTkpVSzJ,2
